synset_id,literal,sense,origin,groups
TUR10-0000000,(özel isim),1,,
TUR10-0000003,(zaman),1,,
TUR10-0000004,(tarih),1,,
TUR10-0000006,(hashtag),1,,
TUR10-0000007,(eposta),1,,
TUR10-0000010,(tam sayı),1,,
TUR10-0000011,(sayı sıra sıfatı),1,,
TUR10-0000013,(yüzde),1,,
TUR10-0000015,(kesir sayı),1,,
TUR10-0000018,(sayı aralığı),1,,
TUR10-0000020,(reel sayı),1,,
TUR10-0000028,aba vakti yaba yaba vakti aba,1,,
TUR10-0000030,su,1,,
TUR10-0000030,ab1,1,,1
TUR10-0000030,âb1,1,,1
TUR10-0000040,kız kardeş1,1,,1
TUR10-0000040,kızkardeş1,1,,1
TUR10-0000040,bacı,1,,
TUR10-0000040,hemşire,2,,
TUR10-0000040,şvester,2,,
TUR10-0000060,aba,3,,
TUR10-0000070,aba,4,,
TUR10-0000080,aba,5,,
TUR10-0000088,aç doymam tok acıkmam sanır,1,,
TUR10-0000090,aba,6,,
TUR10-0000100,abacı,1,,
TUR10-0000110,abacı,2,,
TUR10-0000120,asalak,2,,
TUR10-0000120,leş kargası,2,,
TUR10-0000120,abacı,3,,
TUR10-0000120,ekti,2,,
TUR10-0000120,tufeyli,1,,
TUR10-0000130,beleşçi,1,,
TUR10-0000130,bedavacı,1,,
TUR10-0000130,abacı,4,,
TUR10-0000130,avantacı,1,,
TUR10-0000130,lüpçü,1,,
TUR10-0000140,abacılık,1,,
TUR10-0000150,abacılık,2,,
TUR10-0000160,abadi,1,,
TUR10-0000168,adamlık sende kalsın,1,,
TUR10-0000170,aba güreşi,1,,
TUR10-0000178,adamlık sende kalsın,2,,
TUR10-0000180,abajur,2,,
TUR10-0000190,abajur,1,,
TUR10-0000200,abajurcu,1,,
TUR10-0000210,abajurculuk,1,,
TUR10-0000220,abajurlu,1,,
TUR10-0000228,af buyurun,1,,
TUR10-0000230,abajursuz,1,,
TUR10-0000248,"ağa borç eder, uşak harç",1,,
TUR10-0000250,abaküs,2,,
TUR10-0000260,abalı,1,,
TUR10-0000268,ağaca çıkan keçinin dala bakan oğlağı olur,1,,
TUR10-0000278,ağacı kurt insanı dert yer,1,,
TUR10-0000288,ağılda oğlak doğsa ovada otu biter,1,,
TUR10-0000290,abandırmak,1,,
TUR10-0000300,abandone,1,,
TUR10-0000308,ağız yer yüz utanır,1,,
TUR10-0000310,abanık,1,,
TUR10-0000318,"ağızdan burun yakın, kardeşten karın yakın",1,,
TUR10-0000320,abani,1,,
TUR10-0000330,abani,2,,
TUR10-0000338,ağzından hayır çıkmazsa bari şer söyleme,1,,
TUR10-0000350,abanmak,1,,
TUR10-0000358,ağlamak para etmez,1,,
TUR10-0000360,abanmak,2,,
TUR10-0000368,ağlar gözden sahte sözden kendini sakın,1,,
TUR10-0000370,abanmak,3,,
TUR10-0000378,ağlayanın malı gülene hayretmez,1,,
TUR10-0000380,abanmak,4,,
TUR10-0000390,abanmak,5,,
TUR10-0000398,ağrılarda göz ağrısı her kişinin öz ağrısı,1,,
TUR10-0000400,abanoz,1,,
TUR10-0000408,ah alan onmaz,1,,
TUR10-0000410,abanozgiller,1,,
TUR10-0000418,ah yerde kalmaz,1,,
TUR10-0000430,abanozlaşmak,1,,
TUR10-0000438,ahbap kusuruna bakan ahbapsız kalır,1,,
TUR10-0000440,yanmak,5,,
TUR10-0000440,abanozlaşmak,2,,
TUR10-0000448,ahmağa yüz abdala söz vermeye gelmez,1,,
TUR10-0000450,abartı,1,,
TUR10-0000458,ak gün ağartır kara gün karartır,1,,
TUR10-0000470,abartıcılık,1,,
TUR10-0000470,abartmacılık,1,,
TUR10-0000470,mübalağacılık,1,,
TUR10-0000478,akıl akıl gel çengele takıl,1,,
TUR10-0000518,akşamın işini sabaha bırakma,1,,
TUR10-0000520,abartısız,2,,
TUR10-0000548,alacağım olsun da ala kargada olsun,1,,
TUR10-0000550,abartma,1,,
TUR10-0000550,mübalağa1,1,,1
TUR10-0000550,mübalâğa1,1,,1
TUR10-0000560,abartıcı,1,,
TUR10-0000560,abartmacı,1,,
TUR10-0000560,mübalağacı,1,,
TUR10-0000610,abasız,1,,
TUR10-0000620,abaşo,1,,
TUR10-0000630,abaşo,2,,
TUR10-0000638,allah rızası için,3,,
TUR10-0000648,allah tekrarına erdirsin,1,,
TUR10-0000660,mutlu olmak,1,,
TUR10-0000660,mesut olmak,1,,
TUR10-0000660,bahtiyar olmak,1,,
TUR10-0000660,mutlanmak,1,,
TUR10-0000660,mutlulanmak,1,,
TUR10-0000660,onmak,2,,
TUR10-0000660,abat olmak,1,,
TUR10-0000660,gönenmek,1,,
TUR10-0000700,Abazaca,2,,
TUR10-0000708,"altın adı pul oldu, kız adı dul oldu",1,,
TUR10-0000710,abazan,1,,
TUR10-0000720,abazan,2,,
TUR10-0000740,Abaza peyniri,1,,
TUR10-0000740,abhaz peyniri,1,,
TUR10-0000750,Abbas,1,,
TUR10-0000760,kul,1,,
TUR10-0000760,abd,3,,
TUR10-0000768,ana gibi yâr olmaz bağdad gibi diyar olmaz,1,,
TUR10-0000770,köle,1,,
TUR10-0000770,esir,2,,
TUR10-0000770,kul,2,,
TUR10-0000770,abdFOREIGN,2,FOREIGN,
TUR10-0000770,memlukFOREIGN,1,FOREIGN,
TUR10-0000770,üseraFOREIGN,1,FOREIGN,
TUR10-0000778,ananın ak sütü gibi helâl olsun,1,,
TUR10-0000780,abdal,1,,
TUR10-0000790,abdal,2,,
TUR10-0000800,abdal,3,,
TUR10-0000808,anasından doğduğuna pişman,2,,
TUR10-0000810,abdal,4,,
TUR10-0000818,anasından doğduğuna pişman,1,,
TUR10-0000830,abdest,1,,
TUR10-0000840,abdest,2,,
TUR10-0000848,anlaşıldı vehbinin kerrakesi,1,,
TUR10-0000850,tenya,1,,
TUR10-0000850,abdestbozan,1,,
TUR10-0000850,sığır şeridi,1,,
TUR10-0000850,sığır tenyası1,1,,1
TUR10-0000850,sığırtenyası1,1,,1
TUR10-0000850,şerit,6,,
TUR10-0000858,arabanın ön tekerleği nereden geçerse art tekerleği de oradan geçer,1,,
TUR10-0000860,abdestbozan otu,1,,
TUR10-0000880,abdestli,1,,
TUR10-0000890,abdestli,2,,
TUR10-0000900,abdestlik,1,,
TUR10-0000910,abdestlik,3,,
TUR10-0000920,abdestlik,2,,
TUR10-0000938,at var meydan yok,1,,
TUR10-0000940,abdestsiz,1,,
TUR10-0000950,abdestsiz,2,,
TUR10-0000958,ay aydın hesap belli,1,,
TUR10-0000960,abdestsiz,3,,
TUR10-0000968,ayı görmeden bayram etme,1,,
TUR10-0000978,ayağı yürüten baştır,1,,
TUR10-0000990,abdiaciz1FOREIGN,1,FOREIGN,1
TUR10-0000990,abdiâciz1FOREIGN,1,FOREIGN,1
TUR10-0000998,ayıptır söylemesi,2,,
TUR10-0001000,abdülleziz,1,,
TUR10-0001010,abdülleziz,2,,
TUR10-0001020,alfabe,1,,
TUR10-0001020,abece,1,,
TUR10-0001020,yazı,2,,
TUR10-0001028,ayranım budur yarısı sudur,1,,
TUR10-0001050,aberasyon,1,,
TUR10-0001050,sapınç,2,,
TUR10-0001060,abes,1,,
TUR10-0001070,abes,2,,
TUR10-0001100,abıkevser,1,,
TUR10-0001110,anıt,1,,
TUR10-0001110,abide1,1,,1
TUR10-0001110,âbide1,1,,1
TUR10-0001130,anıtlaşmak,2,,
TUR10-0001130,abideleşmek,1,,
TUR10-0001180,abis,1,,
TUR10-0001200,abla,1,,
TUR10-0001200,bacı,3,,
TUR10-0001200,aba,1,,
TUR10-0001210,abla,2,,
TUR10-0001220,abla,3,,
TUR10-0001220,mama,2,,
TUR10-0001220,çaça,2,,
TUR10-0001230,lezbiyen,1,,
TUR10-0001230,ablacı,1,,
TUR10-0001230,sevici,1,,
TUR10-0001240,lezbiyenlik,1,,
TUR10-0001240,ablacılık,1,,
TUR10-0001240,lezbiyenizm,1,,
TUR10-0001240,sevicilik,1,,
TUR10-0001250,ablak,1,,
TUR10-0001260,ablak,2,,
TUR10-0001270,ablakça,1,,
TUR10-0001300,ablalık etmek,1,,
TUR10-0001320,ablatya,1,,
TUR10-0001330,abli,1,,
TUR10-0001340,kuşatma,1,,
TUR10-0001340,abluka,1,,
TUR10-0001340,muhasaraFOREIGN,1,FOREIGN,
TUR10-0001340,ihataFOREIGN,1,FOREIGN,
TUR10-0001350,abone,1,,
TUR10-0001360,abone,2,,
TUR10-0001370,abone,3,,
TUR10-0001390,abonelik,1,,
TUR10-0001410,abonman,2,,
TUR10-0001420,aborda,1,,
TUR10-0001430,aborjin,1,,
TUR10-0001440,dara,2,,
TUR10-0001440,abra,1,,
TUR10-0001450,abra,2,,
TUR10-0001460,abrakadabra,2,,
TUR10-0001470,abrakadabra,1,,
TUR10-0001490,abramak,1,,
TUR10-0001500,abraş,1,,
TUR10-0001510,abraş,2,,
TUR10-0001520,abraş,3,,
TUR10-0001530,abraş,4,,
TUR10-0001540,abraş,5,,
TUR10-0001550,abraş,6,,
