synset_id,pos,definition,wiki,example_count,examples_joined,literal_count
TUR10-0000000,n,Bir özel isim,,0,,1
TUR10-0000003,n,Bir zaman,,0,,1
TUR10-0000004,n,Bir tarih,,0,,1
TUR10-0000006,n,Bir hashtag,,0,,1
TUR10-0000007,n,Bir elektronik posta,,0,,1
TUR10-0000010,n,Bir tam sayı,,0,,1
TUR10-0000011,n,Bir sayı sıra sıfatı,,0,,1
TUR10-0000013,n,Bir yüzde,,0,,1
TUR10-0000015,n,Bir kesir sayı,,0,,1
TUR10-0000018,n,Bir sayı aralığı,,0,,1
TUR10-0000020,n,Bir reel sayı,,0,,1
TUR10-0000028,i,"Kişi, ihtiyaçlarını vaktinden önce ve ucuz olduğu zaman karşılamalıdır",,0,,1
TUR10-0000030,n,"Hidrojenle oksijenden oluşan, oda sıcaklığında sıvı durumunda bulunan, renksiz, kokusuz, tatsız madde",https://tr.wikipedia.org/wiki/Su,1,"Doğal kaynaklardan elde edilen su renksiz, kokusuz ve tatsız bir maddedir.",3
TUR10-0000040,n,Bir kimsenin (genellikle yaşça küçük) kadın kardeşi,,1,"Ali'nin kızkardeşi, tatilde onlarla gelmek için sabırsızlanıyordu.|Gözlüklerini bulamayan Ahmet, hemen hemşiresine, yani küçük kız kardeşine seslendi.|Şvesterim, bugünlerde üniversite sınavına hazırlanıyor ve çok heyecanlı.",5
TUR10-0000060,n,Yünün dövülmesiyle yapılan kalın ve kaba kumaş,https://tr.wikipedia.org/wiki/Aba_(kuma%C5%9F),1,Giydikleri hırkaları abadan,1
TUR10-0000070,n,Yünün dövülmesiyle yapılan kalın ve kaba kumaştan yapılmış yakasız ve uzun üstlük,https://tr.wikipedia.org/wiki/Aba_(giysi),1,"Bir abam var atarım, nerde olsa yatarım|Hepsi sırtında abâ günlerce gittiler, içleri hicranla dolu",1
TUR10-0000080,a,Yünün dövülmesiyle yapılan kalın ve kaba kumaştan yapılmış olan,,1,Aba terlik,1
TUR10-0000088,i,"Aç insan elde ettiğinden çoğunu ister, varlıklı insan elde ettiğinden yetinir gibi görünür",,0,,1
TUR10-0000090,n,"Dervişlerin giydiği abadan yapılmış, önü açık hırka",,1,"Aba var, post var, meydanda er yok.|Derviş, ince bir abayı omuzlarına alarak dergâhtaki diğer yol arkadaşlarının yanına oturdu",1
TUR10-0000100,n,Aba yapan veya satan kimse,,1,"Köy meydanındaki eski dükkânda abacı, el emeğiyle dokuduğu kalın abaları satışa sunuyordu",1
TUR10-0000110,n,Abadan giyecek yapan veya satan kimse,,1,"Eskiden her çarşıda en az bir abacı bulunur, kış için yün abadan sağlam giysiler dikilirdi",1
TUR10-0000120,a,Başkalarının sırtından geçinen (kimse),,1,"Ben kendimi faydalı bir adam farz ettiğim hâlde, sen kendini niçin işsiz ve tufeyli sayıyorsun?|Ben kendimi faydalı bir adam farz ettiğim hâlde, sen kendini niçin işsiz ve tufeylî sayıyorsun?",5
TUR10-0000130,n,Her şeyi bedavadan sağlamaya çalışan kimse,,1,Arkadaş grubunda sürekli her şeyi başkasına ödetmeye çalışan kişiye artık 'abacı' lakabını takmışlardı,5
TUR10-0000140,n,Aba yapma veya satma işi,,1,Abacılık zor meslektir,1
TUR10-0000150,n,Abadan giyecek yapma veya satma işi,,1,"İstanbul'da abacılık, kürkçülük, arabacılık, bahçıvanlık, sütçülük ve fırıncılık gibi işler yapan Bulgarlar Galata'nın özellikle Tophane yönüne doğru yoğundular ve burada abacılık yaparlardı",1
TUR10-0000160,n,"Açık saman renginde, yarı mat, kalınca bir tür yazı kâğıdı",https://tr.wikipedia.org/wiki/Abad%C3%AE,0,,1
TUR10-0000168,i,İyilik bilmese de sen yine iyilik et,,0,,1
TUR10-0000170,n,Aba giyilerek ve bele kuşak bağlanarak yapılan bir tür güreş,https://tr.wikipedia.org/wiki/Aba_g%C3%BCre%C5%9Fi,0,,1
TUR10-0000178,i,"Bu işi nasıl olsa sana yaptıracaklar, bari kendiliğinden yap da onurunu koru",,0,,1
TUR10-0000180,n,"Işığı bir yere toplamak, doğrudan doğruya gözlere vurmasını önlemek için kullanılan lamba siperi",https://tr.wikipedia.org/wiki/Abajur,1,"Sofranın üzerindeki lambanın kırmızı abajurundan süzülen ziya içinde iri mavi gözleriyle, kumral saçlarıyla harikulade güzel görünüyordu",1
TUR10-0000190,n,Genellikle üzeri siperli masa lambası veya ayaklı lamba,https://tr.wikipedia.org/wiki/Abajur,1,"Etajerin sağında bir telefon, ortasında bir heykel, solunda bir abajur.",1
TUR10-0000200,n,Abajur yapan veya satan kimse,,0,,1
TUR10-0000210,n,Abajurcu işi veya mesleği,,0,,1
TUR10-0000220,a,Abajuru olan,,1,"Üstünde lacivert abajurlu, parlak bir madenden lamba.",1
TUR10-0000228,i,Affedersiniz veya affınızı rica ederim anlamında bir söz,,0,,1
TUR10-0000230,a,Abajuru olmayan,,1,"Tavandaki abajursuz, çelik elektrik lambasını yakmış okuyordu.",1
TUR10-0000248,i,Ağa para sıkıntısı içinde olup borç etse de uşak hâlden anlamaz ve bol harcamayı sürdürür,,0,,1
TUR10-0000250,n,Yatay olarak sütun başlığının üstüne konan ve kenarlarından biraz dışarı taşan taş blok,,1,"Antik tapınakta, her sütunun tepesine yerleştirilen geniş abaküs blokları, yapıya hem sağlamlık hem de estetik bir denge katıyordu",1
TUR10-0000260,a,Aba giymiş olan,,1,"Şimdiye kadar ancak padişahlara yapılan bu alay, şu abalı Bektaşi babası için mi",1
TUR10-0000268,i,Çocuklar ana ve babalarından öğrendiklerini yapmaya özenirler,,0,,1
TUR10-0000278,i,Kurt ağacı nasıl içten içe kemirirse dert de insanı içte içe yer bitirir,,0,,1
TUR10-0000288,i,Tanrı her yaratığın rızkını verir,,0,,1
TUR10-0000290,v,Bir hayvanı yere çöktürmek,,0,,1
TUR10-0000300,a,Dövüşemeyecek duruma gelen boksör,,0,,1
TUR10-0000308,i,"Armağan alan, armağan verenin isteğini yerine getirmeye çalışır",,0,,1
TUR10-0000310,n,Esas sese bir üst veya alt derecesine dokunarak geçme,,0,,1
TUR10-0000318,i,İnsanın kendi yararı her şeyden önemlidir anlamında kullanılır,,0,,1
TUR10-0000320,n,"Sarımtırak dallı nakışlarla işlenmiş bir tür beyaz, ipek kumaş",,1,Bursa abanisi.|Bursa abanîsi.|Kıyafet inkılabından sonra abaniler tamamıyla tarihe karışmış fakat millî kılıklarda kefiye ve şallar eskisi gibi muhafaza edilmiştir,1
TUR10-0000330,a,"Sarımtırak dallı nakışlarla işlenmiş bir tür beyaz, ipek kumaştan yapılmış",,1,"Yalnız sarı cübbeli, abani sarıklı, peykede bağdaş kurmuş bir cüce vardı ki onu tanımadı.",1
TUR10-0000338,i,"Lehte konuşmuyorsun, bari aleyhte de konuşma anlamında kullanılır",,0,,1
TUR10-0000350,v,"Eğilerek bir şeyin, bir kimsenin üzerine kapanmak",,1,"Efendi, sen de ne üstüme abanıyorsun?",1
TUR10-0000358,i,Üzülmenin yararı olmaz,,0,,1
TUR10-0000360,v,"Bir yere veya bir kimseye yaslanmak, dayanmak",,1,"Baba, 'ya Allah' nidası ile yerinden zorla, oğluna abanarak kalktı.",1
TUR10-0000368,i,Kendini acındıranlardan kork anlamında kullanılır,,0,,1
TUR10-0000370,v,Bir şeyin veya bir kimsenin üzerine çöküp çullanmak,,1,İki herif zavallıya abanıyorlar.,1
TUR10-0000378,i,Birinden haksız olarak alınan malın onu alana yararı olmaz,,0,,1
TUR10-0000380,v,Birine yük olarak onun sırtından geçinmeye bakmak,,1,Ekonomik ihtiyaçları için tamamen annesine abandı.,1
TUR10-0000390,v,Boksta karşılaşma sırasında rakibine yaslanmak,,1,"Yorgun düşen boksör, dengesini sağlamak için raundun sonuna doğru rakibine abanmak zorunda kaldı",1
TUR10-0000398,i,Herkesi en çok ilgilendiren şey kendi derdidir,,0,,1
TUR10-0000400,n,"Abanozgillerin ağır, sert ve siyah renkli tahtası",https://tr.wikipedia.org/wiki/Abanoz,0,,1
TUR10-0000408,i,Kötülük ettiği için beddua alan iflâh olmaz anlamında kullanılır,,0,,1
TUR10-0000410,n,"İki çeneklilerden, sıcak ülkelerde yetişen ve kerestesine abanoz denilen bir bitki familyası",https://tr.wikipedia.org/wiki/Diospyros,0,,1
TUR10-0000418,i,Kötülük cezasız kalmak anlamında kullanılır,,0,,1
TUR10-0000430,v,Ağaç gibi maddeler uzun süre suda kalarak kararmak,,1,"Göl kenarına düşen eski sandal tahtaları, yıllar geçtikçe abanozlaşıp neredeyse siyaha dönmüştü",1
TUR10-0000438,i,Dostların ufak tefek kusurlarına bakmamak gerekir anlamında kullanılır,,0,,1
TUR10-0000440,v,"Isı etkisiyle vücudun bir yanı yara olmak, kızarmak veya rengi koyulaşmak",,1,"Derisi kızgın güneşin altında yandı.|Doğramalık keresteyi, yıktığımız eski ambarların abanozlaşmış kalaslarından sağladık|Güneşin altında saatlerce çalışınca omuzları abanozlaşarak yanmıştı",2
TUR10-0000448,i,"Ahmağa yüz verirseniz, sizi sık sık uğraştırır",,0,,1
TUR10-0000450,n,Abartma işi,,0,,1
TUR10-0000458,i,"Mutlu bir yaşayış kişiyi dinç kılar, mutsuz bir yaşayış ise yıpratır",,0,,1
TUR10-0000470,n,Abartmayı huy edinme durumu,https://tr.wikipedia.org/wiki/Abartıcılık,0,,3
TUR10-0000478,i,Bir sorunun nasıl çözümleneceğini düşünmeme durumu,,0,,1
TUR10-0000518,i,Bu gün yapılması gereken bir işi ertesi güne bırakmak sakıncalıdır,,0,,1
TUR10-0000520,b,"Abartmadan, abartısız olarak, mübalağasız bir biçimde",,0,,1
TUR10-0000548,i,Alacaklı olmak iyi bir şeydir,,0,,1
TUR10-0000550,n,"Bir nesneyi veya durumu olduğundan daha önemli, daha büyük veya daha çok gösterme",,0,,3
TUR10-0000560,n,Bir şeyi olduğundan büyük veya çok gösterme huyunda olan kimse,,0,,3
TUR10-0000610,a,Aba giymemiş olan,,0,,1
TUR10-0000620,n,Gemiyi baştan veya kıçtan halatla karaya bağlama,,0,,1
TUR10-0000630,a,"Alt, alttaki, aşağı",,1,Abaşo babafingo.,1
TUR10-0000638,i,Karşılık beklemeksizin,,0,,1
TUR10-0000648,i,Tekrar bu günleri görün,,0,,1
TUR10-0000660,v,İstenen veya hoşa giden bir şeyin olması sonucu coşku duymak,,1,Torunları bayramda evine gelince yaşlı kadın gönenmekten gözyaşlarını tutamadı.,8
TUR10-0000700,a,Abazaca dilinde yazılmış olan,,0,,1
TUR10-0000708,i,Uygunsuz davranışları yüzünden temiz tanınan kişili lekelendi,,0,,1
TUR10-0000710,a,Karnı aç olan kimse,,1,"Mutlu bir gün geldi çattı ramazan / Neşeliyim, ama mîde abazan",1
TUR10-0000720,a,Uzun süre kadınsız kalan erkek,,1,"Arkadaşları, uzun süredir yalnız yaşayan Ahmet’i şakayla karışık abazan diye takılıyordu",1
TUR10-0000740,n,İnek sütünden yapılan ve yassı biçimde dilimlenen bir tür kaşar peyniri,,0,,2
TUR10-0000750,n,"""Yola çıkacak kimse"" anlamındaki Abbas yolcu deyiminde geçen bir söz",,0,,1
TUR10-0000760,n,Tanrı'ya göre insan,https://tr.wikipedia.org/wiki/Kul,1,"Kul ile Tanrı'nın arasına girilmez.|Abd ile Rabb'in arasına girilmez.|Ey kullarına lutf u kerem edici kerîm / Göster bu abd-i kemterine râh-ı müstakîm|Kul, Tanrı'nın yarattığı ve ona bağlı olan bir varlıktır.",2
TUR10-0000768,i,İnsanlar içinde bize ana kadar candan bağlı dost yoktur,,0,,1
TUR10-0000770,n,"Savaşta tutsak alınan, yabancı ülkelerden zorla kaçırılıp özgürlükten yoksun bırakılan veya başkasından satın alınan kimse",,1,"Bulgarlara esir düşüp fedakâr emirberi Hasan Çavuşun marifetiyle üsera karargâhından firar edişi.|Antik dönemde savaşlarda köleler, genellikle tutsak alınarak satılırdı.|Savaş sonrası, köylerinden kaçırılan kullar, uzun yıllar özgürlüklerinden mahrum kaldılar.|Yekdiğerinin her iki dil abd ü esîri",6
TUR10-0000778,i,"Anamın sütü bana nasıl helâl ise, bu da sana öyle helâl olsun",,0,,1
TUR10-0000780,n,Gezgin derviş,https://tr.wikipedia.org/wiki/Abdal,1,"Varıp yaslanayım Hacı Bektaş'a / Abdalın olayım çullar içinde|Dokuz abdal bir kilimde uyur, iki pâdişah bir iklîme sığamaz",1
